Species,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Accipiter_virgatus,Accipitridae,LC,0,15.29665899,4.762088461,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.254910983,5.232177564
Aceros_cassidix,Bucerotidae,VU,1,12.01082207,7.766416898,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.916290732,0.849182109,4.434381865
Aceros_comatus,Bucerotidae,NT,0,13.98025224,7.29301768,Vertebrates,ArborealGleaning,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,0.693147181,1.167826258,3.992680908
Aceros_corrugatus,Bucerotidae,NT,0,13.70185708,7.371489295,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.916290732,1.19802755,4.375757022
Aceros_everetti,Bucerotidae,VU,1,9.278419493,7.466685117,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.968250471,0.720843424,3.832979798
Aceros_leucocephalus,Bucerotidae,NT,0,11.40756162,6.9902565,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.693147181,1.069837518,4.956531035
Aceros_narcondami,Bucerotidae,EN,1,1.871802177,6.547029283,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,Yes,0.693147181,0,0
Aceros_nipalensis,Bucerotidae,VU,1,12.55805645,7.776954403,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.405465108,1.040031433,3.520460802
Aceros_plicatus,Bucerotidae,LC,0,13.53327019,7.440592852,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.405465108,0.622332977,2.261763098
Aceros_subruficollis,Bucerotidae,VU,1,11.18813809,7.621684999,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.693147181,1.108521796,3.169685581
Aceros_undulatus,Bucerotidae,LC,0,14.98641362,7.702804502,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.693147181,1.271042659,4.811371017
Aceros_waldeni,Bucerotidae,CR,1,9.315951856,7.466685117,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.916290732,1.151802898,5.690697235
Achaetops_pycnopygius,Macrosphenidae,LC,0,13.35056372,3.342861805,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,0.707106781,1.791759469
Acridotheres_albocinctus,Sturnidae,LC,0,11.5014347,4.538602942,Generalist,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.386294361,1.195109069,4.195697056
Acridotheres_cinereus,Sturnidae,LC,0,9.906782119,4.538602942,Fruit,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.240786777,1.083851472,5.569488887
Acridotheres_cristatellus,Sturnidae,LC,0,14.93817223,4.75625904,Invertebrates,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.704748092,1.373607013,5.653190689
Acridotheres_fuscus,Sturnidae,LC,0,14.6955782,4.416428061,Generalist,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.504077397,1.37457061,5.963065073
Acridotheres_ginginianus,Sturnidae,LC,0,14.23760221,4.276666119,Generalist,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.704748092,1.466089535,6.156978986
Acridotheres_grandis,Sturnidae,LC,0,14.30419032,4.594210346,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.609437912,1.330105485,4.946629964
Acridotheres_tristis,Sturnidae,LC,0,15.7888912,4.757290234,Generalist,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,none,Terrestrial,No,1.386294361,1.316074013,5.446306244
Acrobatornis_fonsecai,Furnariidae,VU,1,7.727094485,2.617395833,Invertebrates,ArborealGleaning,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,0.963679354,1.362871073,3.955082495
Acrocephalus_aedon,Acrocephalidae,LC,0,15.74998776,3.109060959,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.25846099,0.971286834,3.317815773
Acrocephalus_aequinoctialis,Acrocephalidae,EN,1,6.132529987,3.218875825,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.472870805,0
Acrocephalus_agricola,Acrocephalidae,LC,0,16.03267625,2.261763098,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.504077397,0.965783571,3.025291076
Acrocephalus_arundinaceus,Acrocephalidae,LC,0,16.10841653,3.401197382,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.504077397,1.366804364,4.109233175
Acrocephalus_atyphus,Acrocephalidae,LC,0,6.415424238,3.440738556,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.53182959,0
Acrocephalus_australis,Acrocephalidae,LC,0,15.1727915,2.87356464,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,0.916290732,0.823549026,1.824549292
Acrocephalus_baeticatus,Sylviidae,NE,0,15.74721181,2.32238772,Invertebrates,ArborealGleaning,PartiallyMigratory,Cooperative,ExposedElevated,weak,Wetland,No,1.255863746,0.962996287,3.55820113
Acrocephalus_bistrigiceps,Acrocephalidae,LC,0,14.9851508,2.159868791,Invertebrates,ArborealGleaning,Migratory,NonCooperative,Cavity,weak,Wetland,No,1.25846099,1.479394086,5.376203905
Acrocephalus_brevipennis,Acrocephalidae,VU,1,7.188790309,2.772588722,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,Yes,0.916290732,1.285407003,4.779123493
Acrocephalus_caffer,Acrocephalidae,EN,1,5.587248658,3.440738556,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,Yes,1.25846099,0.827988804,0
Acrocephalus_concinens,Acrocephalidae,LC,0,14.49295149,2.116255515,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.25846099,1.442520435,5.820379622
Acrocephalus_dumetorum,Acrocephalidae,LC,0,16.19191706,2.415913778,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.504077397,1.192169049,3.650658241
Acrocephalus_familiaris,Acrocephalidae,CR,1,0.470003629,2.90690106,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,Yes,1.25846099,0,0
Acrocephalus_gracilirostris,Acrocephalidae,LC,0,15.38629225,2.667228207,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Wetland,No,0.916290732,1.028737345,3.793239469
Acrocephalus_griseldis,Acrocephalidae,EN,1,11.41514834,2.815408719,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Wetland,No,1.25846099,1.675450318,5.052416828
