"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order","PC1","PC2"
"Cercomela_sordida",0,0,0,1,1.10856261952128,0,0,1.098612289,1,84.8247491638796,16.4093107805603,10.8931969757463,57.0159159044757,20.6439218514739,829.030705358193,129.797225793947,2.33673257991223,"Passeriformes",0.92176197565889,-0.578169843075182
"Cercomela_tractrac",0,0,0,1,0.963174317773006,1,0,0.916290732,1,67.6835378323108,20.8959907506385,14.8287768563854,45.9346795399984,26.0712212359735,1372.79592725134,17.5527547921018,3.69202788469738,"Passeriformes",4.57659050318941,0.860133325532106
"Cercotrichas_podobe",0,0,0,1,1.13462272619114,0,0,1.098612289,1,48.950954493346,27.9193446657471,13.1744141330309,41.9320130758186,23.2113254943362,2262.92465322978,19.3370047657293,4.26117893367039,"Passeriformes",4.62858570850365,3.09160578830377
"Cereopsis_novaehollandiae",0,0,0,1,4.91998092582813,1,0,1.504077397,2,31.3247978436658,16.0587125256376,10.4863317348244,54.1815611980675,21.9432419630395,871.661942893797,39.5113167153536,4.23019294838378,"Anseriformes",2.46764177705652,-0.942486796570953
"Certhia_americana",1,0,1,1,0.113328685307003,0,0,1.704748092,1,56.9868400438665,8.65672830419739,13.0510263643201,51.4194589435877,23.3864261334954,624.645842652438,62.5346767169152,2.89281350952246,"Passeriformes",2.71521550587146,-1.79428489998813
"Certhia_brachydactyla",1,0,1,0,0.126632650933366,0,0,1.791759469,1,41.7397018922443,12.6318181726957,9.58070606222415,58.2065777925983,18.5675230493018,657.29517534059,65.5144070183703,3.27012478104731,"Passeriformes",0.897661109048904,-1.65232606629127
"Certhia_familiaris",1,0,1,0,0.113328685307003,0,0,1.504077397,1,48.9405390136487,5.66969415353411,9.73640943567685,57.5600369233033,16.8859809117133,452.906421049962,61.0905202898025,2.87183335037103,"Passeriformes",0.552858998635415,-2.75081509140903
"Certhia_himalayana",1,0,1,0,0.148420005118273,0,0,1.609437912,1,77.8967490247074,11.0037994681337,9.85892301628897,60.8467233923229,18.6918790264154,568.096643435474,146.701070596524,2.44928527493781,"Passeriformes",0.0579464376242318,-1.77185544834818
"Certhia_nipalensis",1,0,1,0,0.241566996603419,0,0,1.609437912,1,71.8627737226277,8.70279883327384,8.98708214446576,66.0404389207381,18.4585095468229,406.435324319436,272.02128333767,1.71667645203806,"Passeriformes",-1.42213766681171,-2.12331861318793
"Certhiaxis_cinnamomeus",1,1,0,0,0.86288995514704,0,0,1.252762968,1,137.037937406167,24.3593296456953,8.43424443118901,61.5574327990847,18.4866064368988,1186.77990320407,141.658808180122,2.40750137364467,"Passeriformes",-0.162251891108784,0.807260295356725
"Certhiaxis_mustelinus",1,1,0,0,1.01770976512549,0,0,0.963679354,1,125.194063926941,26.6827929379189,5.43839051843234,68.2182638002857,16.8235732148227,1119.11287908685,198.681078627774,1.85310182873517,"Passeriformes",-1.98603591373076,0.969498372473913
"Certhilauda_albescens",1,1,0,1,0.928219302739429,1,0,1.098612289,1,60.1308310991957,18.1276272065518,13.9252723785891,52.0676376240503,25.3804378744744,1021.93211804101,22.2339346096918,3.76825866910152,"Passeriformes",3.75116886093342,-0.19786566682373
"Certhilauda_barlowi",1,1,0,0,0.928219302739429,1,0,0.916290732,1,54.4088888888889,20.1616506350482,14.5156558722037,48.4805485591182,27.7942946794298,1249.03420844184,2.50432519391731,4.30726412243313,"Passeriformes",4.90672386214823,0.447225164313449
"Certhilauda_burra",1,1,0,1,1.12918063066743,1,0,0.916290732,1,57.0190615835777,20.0359087745465,16.1501023272965,45.09789155865,27.4235867531069,1319.69072358699,10.5833339900915,4.088769053434,"Passeriformes",5.26986990182365,0.631256043488669
"Certhilauda_chuana",0,0,0,1,1.22544406720451,1,0,1.087871047,1,99.9713467048711,22.3531208147634,13.5272473851726,48.9236668802606,23.1919817282341,1398.74507189207,43.1791047394105,3.33666844081059,"Passeriformes",3.37535283732105,1.01594015011563
"Certhilauda_curvirostris",1,1,0,1,1.18936665193657,1,0,0.916290732,1,60.0290102389079,17.2998706374966,10.4797857645835,57.6352572913056,25.1207768534638,849.545090711158,23.5774600294263,4.35885005395974,"Passeriformes",2.8784342525423,-0.791784109950994
"Certhilauda_erythrochlamys",1,1,0,0,0.928219302739429,1,0,0.405465108,1,54.4088888888889,20.1616506350482,14.5156558722037,48.4805485591182,27.7942946794298,1249.03420844184,2.50432519391731,4.30726412243313,"Passeriformes",4.90672386214823,0.447225164313449
"Certhionyx_niger",0,0,0,1,0.104360015324243,0,0,0.693147181,3,35.6297499620003,23.7276396082788,12.9881991042357,44.6304930217869,23.9870561819197,1712.72083076515,29.1283370323829,4.21868700068317,"Passeriformes",4.26481474347475,1.62728233452194
"Certhionyx_pectoralis",0,0,0,1,0.122217632724249,0,0,0.693147181,1,50.1142593447162,26.4227713216545,10.6710639341008,53.1382393791646,21.1445861647412,1631.00720981515,86.2193550035928,2.98973556600191,"Passeriformes",1.9517349615937,1.88283098031188
"Certhionyx_variegatus",0,0,0,1,1.12817109090965,0,0,0.916290732,2,34.666100033998,23.6971627908418,13.1302353401765,44.2879755154296,24.178414537361,1722.20873372231,25.9470576230968,4.31362885655736,"Passeriformes",4.40349277604018,1.62898988867133
"Ceryle_rudis",1,0,1,0,2.09801792725277,1,1,1.504077397,1,101.958241617336,24.3255203584366,10.0101686107257,57.5524068382228,19.3202570517911,1359.1643082988,117.260577005122,2.39004902557417,"Coraciiformes",0.729695460352795,1.18516155959222
"Cettia_acanthizoides",1,1,0,1,-0.070277585307035,0,0,0.916290732,2,78.7226890756303,13.8869802773676,9.47106393946319,60.574094713569,17.0492310336992,686.470570700509,134.870409791877,2.79781297544221,"Passeriformes",-0.0706694310275419,-1.39753811047569
"Cettia_annae",1,1,0,0,0.810930216216329,0,0,1.186317869,1,4.33333333333333,26.8680260976156,1.74750518798828,65.9634272257487,19.1447416941325,1202.0703125,325.419942220052,2.55114324887594,"Passeriformes",-2.36493562718727,1.21989899598866
"Cettia_brunnifrons",1,1,0,1,0.169764603884699,0,0,1.386294361,2,84.6054332058552,14.2245090455678,9.81719897702959,60.8284665761327,18.5742877255671,730.485705056103,175.517354546413,2.23841703749263,"Passeriformes",-0.157962464353102,-1.06117052837673
"Cettia_canturians",1,1,0,0,0.609765571620894,0,0,1.186317869,2,50.9658774896655,14.6757937096779,9.93328582447572,56.707488537444,18.098758856778,782.461630078143,89.8259062244139,3.10812144398644,"Passeriformes",0.830310449659826,-1.15334673184552
"Cettia_cetti",0,0,0,1,0.587786664902119,0,0,1.504077397,1,45.9308148746466,14.6404311753796,11.4641576124677,52.8490997452398,20.9161888937488,929.624675828593,37.1795055793654,3.63741989869611,"Passeriformes",2.38450120806676,-0.883831161006446
