"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order"
"Pluvialis_dominica",0,0,0,1,3.27525615830431,1,0,1.386294361,3,17.9223148293757,-8.63312194834622,7.14954147719047,69.3952880708803,15.8647893702277,163.511605915586,26.5269337161604,4.31567296192207,"Charadriiformes"
"Pluvialis_fulva",0,0,0,1,3.27525615830431,1,0,1.386294361,3,19.0424645043637,-8.95263694836818,6.15222285174914,70.2226511003823,15.2278779473205,148.013447082398,30.6707184827466,4.13990462202105,"Charadriiformes"
"Pluvialis_squatarola",0,0,0,1,3.53222564406856,1,0,1.252762968,3,16.6320015202622,-9.6904201576137,6.22346107193713,71.3196722149617,14.8822314871185,138.808110559302,29.4179094399209,4.3623914047796,"Charadriiformes"
"Pluvianellus_socialis",0,0,0,1,2.42480272571829,1,0,0.693147181,2,19.4740368509213,6.55132931381015,7.4091305568989,58.167292168392,18.4864616889251,417.408269527569,35.4613051917685,6.54868117928305,"Charadriiformes"
"Pluvianus_aegyptius",0,0,0,1,2.27212588550934,1,0,0.916290732,2,97.6072041166381,27.9034605706273,11.3579183857513,50.1272903644288,20.9805636518114,1910.70076687585,74.70362081717,2.92952402673262,"Charadriiformes"
"Pnoepyga_albiventer",1,1,0,0,0.657520002916794,0,0,1.386294361,1,92.0001880406168,15.3066494006197,9.49722064863967,61.8161205006255,17.9726467028557,739.321666802173,206.628496856517,1.88220767078878,"Passeriformes"
"Pnoepyga_pusilla",1,1,0,0,0.553657571823615,0,0,1.252762968,1,110.088281681255,19.5184337237277,8.39500636925091,63.690917878504,15.6865403952071,860.562968445185,201.547905979167,2.22457377206719,"Passeriformes"
"Podager_nacunda",0,0,0,1,2.55722731136763,1,0,0.405465108,1,116.093882866664,24.3296187098865,8.84773904052511,59.6980592432722,18.9765615837684,1247.88469908997,124.711122173861,2.85979207708405,"Caprimulgiformes"
"Podargus_ocellatus",0,0,0,1,2.60268968544438,0,0,0.405465108,1,46.7567915356019,24.8188022556801,6.2769227847393,68.3022445272915,16.9454999913616,998.848211116643,272.592622633147,1.41969835278832,"Caprimulgiformes"
"Podargus_papuensis",0,0,0,1,3.25809653802148,0,0,0.405465108,1,47.8650653479336,24.7201601034281,6.5800015062013,67.393231549898,17.2007620095168,1029.34745691736,259.316928341155,1.64337586768802,"Caprimulgiformes"
"Podargus_strigoides",0,0,0,1,3.2188758248682,0,0,0.693147181,1,36.9287634028348,23.009961204279,12.4516529013359,47.1278886430539,23.4463520956319,1581.80655728551,38.6969325819606,4.01665561502616,"Caprimulgiformes"
"Podica_senegalensis",0,0,0,1,4.19979141135309,1,0,0.916290732,1,118.008951929366,24.4677846636294,9.84867315505009,58.5261535752513,19.3991440767124,1308.90551330561,111.036078696258,2.00434850939069,"Gruiformes"
"Podiceps_auritus",0,0,0,1,3.11351530921037,1,0,1.504077397,3,44.9195333532755,5.55273791123494,9.83756182337514,57.3812134389281,17.350941484043,477.734705006117,41.7151170459946,3.92383874062773,"Podicipediformes"
"Podiceps_cristatus",0,0,0,1,3.70745583968687,0,0,1.386294361,1,53.4289869608826,11.4583300714841,10.0316932721076,55.8880099873748,18.238058455648,694.121089076862,48.9671364878699,3.73861632907044,"Podicipediformes"
"Podiceps_gallardoi",0,0,0,1,3.29087158455664,0,0,0.693147181,1,10.8,3.45610406398773,8.03096475601196,58.1733963012695,22.6670185089111,340.448748779297,24.37766456604,9.19405269622803,"Podicipediformes"
"Podiceps_grisegena",0,0,0,1,3.42588999425253,0,0,1.504077397,3,48.3374622440214,7.74399526209592,9.48093881295745,57.754945674508,17.2526916786729,537.826975124853,44.8130084440345,3.95699992575814,"Podicipediformes"
"Podiceps_major",0,0,0,1,3.93409847668007,0,0,1.386294361,3,55.3089218250509,18.0322997094552,10.1123076303169,56.2857430964423,21.6028961296935,946.047841146082,98.7653325538464,4.21736528580011,"Podicipediformes"
"Podiceps_nigricollis",0,0,0,1,3.04452243772342,0,0,1.252762968,3,54.164516661557,10.2853844983473,10.457880417519,55.8835339524275,18.3771616446759,645.162845912138,46.4332761497168,3.93513209778523,"Podicipediformes"
"Podiceps_occipitalis",0,0,0,1,2.93008183046026,0,0,0.916290732,1,40.5859084101757,12.5715421483382,10.2299452782084,55.4440764213718,22.4961689816248,692.333099914754,94.5161024752809,4.06722597481734,"Podicipediformes"
