"","pred","tmean","dtr","hurs","rsds","vpd","precp","wind"
"Tauraco_corythaix",95.0280701754386,17.340702712745,11.054234835976,59.856045465302,20.4423012649804,802.798018391927,84.8921688548306,3.0440737669928
"Tauraco_erythrolophus",104.101477832512,22.7486893057236,10.6508937694756,61.3747448700402,19.0842306606875,1073.29849053745,113.013481279195,1.55897969295239
"Tauraco_fischeri",93.1792656587473,26.5133141091266,6.99284729432339,61.8728761199226,20.4807720843453,1328.94398356823,75.1359149199583,3.03656801343222
"Tauraco_hartlaubi",121.419889502762,19.6541404917315,10.1996340295008,58.4105323103032,20.8665822206501,1000.52425012185,97.0261750827178,2.43264514295655
"Tauraco_leucolophus",118.624877423248,25.2475354988183,10.1171316667821,55.3002440567748,20.3943419533095,1483.6659762056,112.385423191966,1.85428386529646
"Tauraco_leucotis",83.5847280334728,18.0584858985127,10.5836212664967,57.4875306684103,19.7743807277919,917.754116106233,133.406805722783,2.0381145628177
"Tauraco_livingstonii",101.719175749319,23.5175679158775,9.34141206676369,60.124784000563,19.2778207424226,1166.05384702968,89.6599427581808,2.20011808709
"Tauraco_macrorhynchus",143.268914549654,24.7345747562259,7.48148084759437,67.0121875218486,16.1283787392138,1036.91558596569,167.582101718823,1.60352458665332
"Tauraco_persa",132.934149870453,25.5234775286495,8.79425587608065,61.8819367963808,17.9906836037376,1274.24829437144,138.460862675635,1.77553157397413
"Tauraco_ruspolii",85.5961538461538,20.6889097140386,9.21076959830064,56.4648576149574,18.199537387261,1083.89932368352,61.8144325843224,2.6526347719706
"Tauraco_schalowi",114.156033089284,21.6599700866435,10.9529642935,56.0180326978483,20.4071959471696,1154.42283761094,95.7229325001691,2.17033053382989
"Tauraco_schuettii",130.592100968339,23.4510088384041,8.75429163600659,65.3214013119696,18.4643683596957,1012.27486536804,147.672233336665,1.1962339958757
"Tchagra_australis",117.862931472604,22.88521375891,10.3959780474779,57.6758654396765,19.7414316062198,1189.33863794999,96.7642292403543,2.27805269259161
"Tchagra_jamesi",73.8664337819788,26.0659597119165,10.0221245226874,53.8052532905838,20.6248615966063,1581.35833164561,37.3488184354612,3.46234312896357
"Tchagra_senegalus",108.854296060047,24.2618114431673,10.5397409808335,55.5904916672575,20.1008062947059,1398.58996999607,92.3279617991923,2.38899473335389
"Tchagra_tchagra",93.2297794117647,18.9408413723988,10.245946101406,59.9687986233655,20.0503456557498,885.180010515101,77.5464654187946,3.45019502433784
"Telacanthura_melanopygia",147.54725848564,24.5858635994535,7.61008917938843,67.3422739571753,16.5885553177385,1014.20283880939,152.965866961367,1.47046205760397
