"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order","PC1","PC2"
"Acridotheres_albocinctus",1,0,1,0,1.90904978544407,0,0,1.386294361,1,96.7371323529412,24.7199923571418,9.8364683284479,58.7834716614555,18.0704273143235,1313.70958238489,116.408044078771,2.39326659842011,"Passeriformes",-0.0750401556040397,1.16157152638996
"Acridotheres_cristatellus",1,0,1,0,2.02154756326093,0,0,1.704748092,2,74.7868232890705,19.5681274767672,8.30165880474055,61.1733059015167,15.6804114192694,919.903096268589,146.117068172061,2.88509972474792,"Passeriformes",-0.831379768296585,-0.211647796583666
"Acridotheres_fuscus",1,0,1,0,1.90954250488444,0,0,1.504077397,2,92.8249921871512,25.9822182542293,10.1336324519039,57.0197789209103,19.3215880566204,1498.05076146719,158.314921292148,2.48067355939754,"Passeriformes",0.154289948092564,1.72647780836455
"Acridotheres_ginginianus",1,0,1,0,1.72176189891451,0,0,1.704748092,2,77.6036781946073,28.6849826876192,12.491049845501,48.7526842147496,22.3747434901185,2088.23948764242,62.7096664572936,3.0473405265567,"Passeriformes",2.42702666129822,2.99893636940744
"Acridotheres_grandis",1,0,1,0,1.92862571507438,0,0,1.609437912,1,88.8549144328336,26.5643405561896,8.44484161048807,60.8214277267167,17.8299122578842,1376.5103734808,150.210942769401,2.61655489806784,"Passeriformes",-0.566576915135822,1.316231291461
"Acridotheres_tristis",1,0,1,0,1.96009478404727,0,0,1.386294361,2,83.5197286870291,22.8036087458662,10.4972621390102,55.7532199522295,19.889628268309,1369.73550296378,116.437695480751,2.74567060498582,"Passeriformes",0.727536729271804,1.22496684160919
"Acrocephalus_aedon",0,0,0,1,1.08010881710355,0,0,1.25846099,3,41.4804624664879,8.16820922537111,12.3719691093182,48.0727537467077,20.2646506447894,681.087699025438,28.7885330745746,4.25565532841408,"Passeriformes",2.74782896234683,-1.33319449802347
"Acrocephalus_agricola",0,0,0,1,0.385262400790645,0,0,1.504077397,3,54.7375038020886,11.0027662587827,10.7380991616356,54.4142669427108,18.994283775547,744.715797109487,33.787154056752,3.98116564100417,"Passeriformes",1.66969563333414,-1.17254112872016
"Acrocephalus_arundinaceus",0,0,0,1,1.08703714087954,0,0,1.504077397,3,50.8786601415366,12.2982983557722,10.1312270222698,55.5966471550795,18.2227784076417,721.365750342242,59.091303842686,3.71746593172298,"Passeriformes",1.10289524227587,-1.09472510296626
"Acrocephalus_bistrigiceps",0,0,0,1,0.285178942233662,0,0,1.25846099,3,46.2415493804884,12.2104784557539,10.9443498838397,52.9373938907975,19.0952657592092,756.854996423206,56.9812872624635,3.82150383406019,"Passeriformes",1.62352274627807,-0.946493738262252
"Acrocephalus_brevipennis",0,0,0,1,0.73036474307288,0,0,0.916290732,1,7.9,23.1880395889282,3.22257785797119,62.711988067627,22.0678762435913,1054.81130981445,21.0271512985229,4.05571532249451,"Passeriformes",0.342882286634062,0.262693828915947
"Acrocephalus_concinens",0,0,0,1,0.294115270736139,0,0,1.25846099,2,53.5581420765027,17.64037145513,10.2713341624359,55.5560529890217,18.3993536187261,953.103919349212,98.9598318041609,3.32734104267886,"Passeriformes",0.769802650049751,-0.140379727710615
"Acrocephalus_dumetorum",0,0,0,1,0.518793793415168,0,0,1.504077397,3,52.4534010494392,6.22462847625791,9.3322731116978,57.5908865674542,16.1800610783964,479.247312733178,47.7319917177388,3.05742099840715,"Passeriformes",0.326287991818665,-1.99060462660354
"Acrocephalus_griseldis",0,0,0,1,1.14740245283754,0,0,1.25846099,3,35.9920159680639,27.8954092813823,13.8642567960088,38.1296831386056,24.6961427981744,2576.90615351329,12.1960622421996,4.12537224278479,"Passeriformes",4.61362923792734,3.73497824853163
"Acrocephalus_melanopogon",0,0,0,1,0.470003629245736,0,1,1.386294361,3,51.4797323888233,14.5588080177435,10.2655832319924,55.0149494803172,19.3629840740488,866.749383943656,42.8781233910077,3.60226604221656,"Passeriformes",1.38017020098064,-0.572821417969517
"Acrocephalus_orinus",0,0,0,1,0.405465108108164,0,0,1.25846099,3,31.8333333333333,-1.91484206914902,10.305503209432,60.6330369313558,26.5545969009399,237.133499145508,65.819034576416,3.01767828067144,"Passeriformes",1.87449824320329,-2.07863461491091
"Acrocephalus_paludicola",0,0,0,1,0.398776119957368,0,0,1.609437912,3,49.5074626865672,10.2043354790009,8.80422070133152,59.4448982020516,15.6459131632278,547.194809339533,52.034151300269,3.79466693525884,"Passeriformes",0.266069056232426,-1.86725289469305
"Acrocephalus_palustris",0,0,0,1,0.615185639090233,0,0,1.386294361,3,50.6198107702568,9.5645155280376,8.81709085545984,58.8998019099832,16.253785731356,550.931311460446,56.8714038707607,3.43178227682209,"Passeriformes",0.238493575254791,-1.73737136342784
"Acrocephalus_schoenobaenus",0,0,0,1,0.500775287912489,0,0,1.704748092,3,44.607548843084,7.86595003330942,9.36005995796162,58.1249421333358,16.9060872686037,556.803957551102,45.8992825159284,3.98842611301189,"Passeriformes",0.801407926381704,-1.95369350220554
"Acrocephalus_stentoreus",0,0,0,1,0.938052223655668,0,0,1.504077397,2,65.9896007287081,19.1771428127005,11.2990904101825,52.4473209649432,20.6001818838236,1213.2149376922,74.6651000494841,3.39798738902189,"Passeriformes",1.69819659801151,0.588882941574707
"Acrocephalus_tangorum",0,0,0,1,0.285178942233662,0,0,1.25846099,3,53.3642131979695,7.82953387408087,11.3690343956052,52.124981392862,18.8031850619566,590.38252639125,44.3906032405731,3.8681524995519,"Passeriformes",1.81189762838545,-1.57996483548313
"Actenoides_lindsayi",1,0,1,0,2.39407027408161,0,0,1.32591385,1,46.9458186101296,24.9800414949199,5.04456239707057,68.1316601199452,17.8409943586244,1024.79574085321,247.900931368447,2.8892285392759,"Coraciiformes",-2.06459831809445,0.548854101051237
"Actinodura_egertoni",0,0,0,1,1.2257067706797,0,0,1.252762968,1,114.174107142857,18.577546353851,8.98614019602537,63.557710654395,17.235204240254,806.95255720956,289.539387757438,1.58941803199372,"Passeriformes",-1.91075431364812,0.206776039999921
"Actinodura_morrisoniana",1,1,0,0,0.98418695586299,0,0,1.108145249,1,76.3119266055046,15.2635688519259,6.72892651864148,66.4802798349923,15.6930435513138,598.799965674724,325.417296383359,1.91719097992696,"Passeriformes",-2.76424786792323,-0.621134485129426
"Actinodura_nipalensis",0,0,0,1,1.3515593835344,0,0,0.693147181,1,77.5107794361526,12.5843914831073,10.0042085291734,62.1714062413964,19.8315042350225,594.529096283921,211.21201174532,1.52821962404409,"Passeriformes",-0.835441014386883,-0.413398486780319
"Actinodura_ramsayi",0,0,0,1,1.26742509820097,0,0,0.693147181,2,125.067989180859,20.4712460631216,9.35431415522626,63.0659676538232,16.461513757477,902.447246898304,138.660101713209,2.3201384986524,"Passeriformes",-0.892119638757003,0.0230599168397761
"Actitis_hypoleucos",0,0,0,1,2.52572864430826,1,0,1.386294361,3,43.6144653194588,6.79958896740268,10.1305188583575,56.3194462148609,18.4488654168495,579.019855462959,44.6384109215235,3.79407903424514,"Charadriiformes",1.24500018043993,-1.77167286283008
"Actitis_macularius",0,0,0,1,2.19722457733622,1,0,1.386294361,3,40.8681698828825,8.32337588644222,10.6309207334269,56.7935779634971,19.0447083812534,568.451130305246,68.4697074712463,4.19980918082719,"Charadriiformes",1.4093963577373,-1.70362763583049
